Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00      13/42881       Vertex::getAdjacency(Vertex*) [71]
                0.00    0.00    1822/1822        mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops, int>::type mpfr::operator==<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [379]
                0.00    0.00    1806/95790       Triangle::getVertex(int) [175]
                0.00    0.00    1204/1870440     mpfr::real<512l, (mpfr_rnd_t)0>::operator=(mpfr::real<512l, (mpfr_rnd_t)0> const&) [160]
-----------------------------------------------
                0.00    0.06     236/579         Mesh::refineTriangle(Triangle*) [15]
                0.00    0.09     343/579         Mesh::refine(mpfr::real<512l, (mpfr_rnd_t)0>&, int) [8]
[6]     11.2    0.00    0.15     579         Mesh::insertCircuncenterOff(Triangle*, mpfr::real<512l, (mpfr_rnd_t)0>*) [6]
                0.00    0.15     579/607         Mesh::insertVertice(Vertex*, Triangle*) [5]
                0.00    0.00       5/9           Mesh::deleteVertex(Vertex*) [114]
                0.00    0.00     579/688         Mesh::createVertex(mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&) [123]
                0.00    0.00      10/26239       std::list<Triangle*, std::allocator<Triangle*> >::remove(Triangle* const&) [19]
-----------------------------------------------
                0.00    0.13     589/589         Mesh::insertVertice(Vertex*, Triangle*) [5]
[7]      9.6    0.00    0.13     589         Mesh::splitTriangle(Vertex*, Triangle*) [7]
                0.00    0.09    1767/1973        Mesh::maintainsDelaunay(Triangle*, Adjacency*) [10]
                0.00    0.02    1767/5013        Mesh::createTriangle(Vertex*, Vertex*, Vertex*) [17]
                0.00    0.01     589/3747        Mesh::deleteTriangle(Triangle*) [18]
                0.00    0.00    3504/11220       Mesh::setNeighbors(Triangle*, Triangle*) [69]
                0.00    0.00    1767/3594        Mesh::createAdjacency(Vertex*, Vertex*, Triangle*, Triangle*, int) [98]
                0.00    0.00    1767/42881       Vertex::getAdjacency(Vertex*) [71]
                0.00    0.00    1767/95790       Triangle::getVertex(int) [175]
                0.00    0.00    1767/68286       Triangle::getNeighbor(int) [193]
                0.00    0.00    1767/15443       Adjacency::addTriangle(Triangle*) [267]
-----------------------------------------------
                0.00    0.12       2/2           startProcess() [2]
[8]      8.7    0.00    0.12       2         Mesh::refine(mpfr::real<512l, (mpfr_rnd_t)0>&, int) [8]
                0.00    0.09     343/579         Mesh::insertCircuncenterOff(Triangle*, mpfr::real<512l, (mpfr_rnd_t)0>*) [6]
                0.00    0.02     389/642         Mesh::splitEncroachedSegments(mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>) [24]
                0.00    0.00     389/389         Mesh::calculateOffCenter(Triangle*, mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>*) [86]
                0.00    0.00    2541/2795        Mesh::splitEncroachedSegments() [85]
                0.00    0.00    7391/20534       mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops, int>::type mpfr::operator< <mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [76]
                0.00    0.00    2541/2819        std::list<Triangle*, std::allocator<Triangle*> >::front() [104]
                0.00    0.00    2152/2152        std::list<Triangle*, std::allocator<Triangle*> >::pop_front() [109]
                0.00    0.00     778/129336      mpfr::real<512l, (mpfr_rnd_t)0>::real(mpfr::real<512l, (mpfr_rnd_t)0> const&) [75]
                0.00    0.00       2/2           std::list<Triangle*, std::allocator<Triangle*> >::operator=(std::list<Triangle*, std::allocator<Triangle*> > const&) [137]
                0.00    0.00    1570/19749853     mpfr::real<512l, (mpfr_rnd_t)0>::~real() [16]
                0.00    0.00     778/18946999     mpfr::real<512l, (mpfr_rnd_t)0>::real() [12]
                0.00    0.00       2/13265034     mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator*<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [4]
                0.00    0.00       2/6377        mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::const_pi<512l, (mpfr_rnd_t)0>() [130]
                0.00    0.00       2/2           mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::sin<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&) [148]
                0.00    0.00       2/19127       mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_mul, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator*<int>(int const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [119]
                0.00    0.00       2/8666        mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_div_b, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator/<int>(int const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [127]
                0.00    0.00       2/2185461     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::fabs<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&) [46]
                0.00    0.00       2/2485        mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_div_a, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator/<int>(mpfr::real<512l, (mpfr_rnd_t)0> const&, int const&) [138]
                0.00    0.00    2543/2867        std::list<Triangle*, std::allocator<Triangle*> >::empty() const [346]
                0.00    0.00     778/24253       mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_assign_op&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_set, mpfr::real<512l, (mpfr_rnd_t)0>&>::type mpfr::real<512l, (mpfr_rnd_t)0>::operator=<int>(int const&) [230]
-----------------------------------------------
                0.00    0.00    2719/6643573     monitorFunctionLaplacianSmoothingThompson(Vertex*, mpfr::real<512l, (mpfr_rnd_t)0>) [99]
                0.00    0.00    6870/6643573     Mesh::cuthillMcKee(bool, int) [91]
                0.00    0.00    9769/6643573     FiniteVolume::solve(Vertex*, mpfr::real<512l, (mpfr_rnd_t)0>&) [25]
                0.00    0.00   22820/6643573     Utils::findPseudoPeripheral(Mesh&) [94]
                0.00    0.00  110214/6643573     Vertex::getAdjacency(Vertex*) [71]
                0.11    0.00 6491181/6643573     ConjugateGradient::solve(Vertex*, int) [3]
[9]      8.1    0.11    0.00 6643573         std::_List_iterator<Adjacency*>::operator++(int) [9]
-----------------------------------------------
                                3038             Mesh::maintainsDelaunay(Triangle*, Adjacency*) [10]
                0.00    0.01     206/1973        Mesh::splitEdge(Vertex*, Adjacency*) [39]
                0.00    0.09    1767/1973        Mesh::splitTriangle(Vertex*, Triangle*) [7]
[10]     7.8    0.00    0.11    1973+3038    Mesh::maintainsDelaunay(Triangle*, Adjacency*) [10]
                0.00    0.10    1519/1519        Mesh::swap(Adjacency*) [11]
                0.00    0.00    9672/63692       Triangle::getNumber(Vertex*) [51]
                0.00    0.00    9672/42881       Vertex::getAdjacency(Vertex*) [71]
                0.00    0.00    4836/46731       Utils::distanceSQR(mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&, Vertex*) [81]
                0.00    0.00    4836/1712618     mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator-<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [26]
                0.00    0.00    9672/19749853     mpfr::real<512l, (mpfr_rnd_t)0>::~real() [16]
                0.00    0.00    9672/10228397     Adjacency::getVertex(int) [27]
                0.00    0.00    4836/40977       mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::type, int, true>::enable_compar_ops, int>::type mpfr::operator< <mpfr::real<512l, (mpfr_rnd_t)0>, int>(mpfr::real<512l, (mpfr_rnd_t)0> const&, int const&) [117]
                0.00    0.00   16098/42602       Adjacency::getTriangle(int) [209]
                0.00    0.00    4836/95790       Triangle::getVertex(int) [175]
                                3038             Mesh::maintainsDelaunay(Triangle*, Adjacency*) [10]
-----------------------------------------------
                0.00    0.10    1519/1519        Mesh::maintainsDelaunay(Triangle*, Adjacency*) [10]
[11]     7.5    0.00    0.10    1519         Mesh::swap(Adjacency*) [11]
                0.00    0.04    3038/3747        Mesh::deleteTriangle(Triangle*) [18]
                0.01    0.04    3038/5013        Mesh::createTriangle(Vertex*, Vertex*, Vertex*) [17]
                0.00    0.01    1519/1527        Mesh::removeEdge(Adjacency*) [44]
                0.00    0.00    7388/11220       Mesh::setNeighbors(Triangle*, Triangle*) [69]
                0.00    0.00    6076/63692       Triangle::getNumber(Vertex*) [51]
                0.00    0.00    6076/42881       Vertex::getAdjacency(Vertex*) [71]
                0.00    0.00    1519/3594        Mesh::createAdjacency(Vertex*, Vertex*, Triangle*, Triangle*, int) [98]
                0.00    0.00    3038/10228397     Adjacency::getVertex(int) [27]
                0.00    0.00    6076/68286       Triangle::getNeighbor(int) [193]
                0.00    0.00    6076/15443       Adjacency::addTriangle(Triangle*) [267]
                0.00    0.00    3038/42602       Adjacency::getTriangle(int) [209]
                0.00    0.00    3038/95790       Triangle::getVertex(int) [175]
-----------------------------------------------
                0.00    0.00       2/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::sin<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&) [148]
                0.00    0.00      15/18946999     ConjugateGradient::solve(Vertex*, int) [3]
                0.00    0.00      80/18946999     Mesh::calculateOffCenter(Triangle*, mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>*) [86]
                0.00    0.00     778/18946999     Mesh::refine(mpfr::real<512l, (mpfr_rnd_t)0>&, int) [8]
                0.00    0.00     912/18946999     monitorFunctionLaplacianSmoothingThompson(Vertex*, mpfr::real<512l, (mpfr_rnd_t)0>) [99]
                0.00    0.00     912/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, float, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, float, true>::has_mul, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator*<float>(float const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [141]
                0.00    0.00    2485/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_div_a, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator/<int>(mpfr::real<512l, (mpfr_rnd_t)0> const&, int const&) [138]
                0.00    0.00    3579/18946999     Adjacency::Adjacency(Vertex*, Vertex*) [122]
                0.00    0.00    6375/18946999     mpfr::real<512l, (mpfr_rnd_t)0>::operator-() const [131]
                0.00    0.00    6377/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::const_pi<512l, (mpfr_rnd_t)0>() [130]
                0.00    0.00    8666/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_div_b, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator/<int>(int const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [127]
                0.00    0.00   10770/18946999     Vertex::Vertex(mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>&, int) [125]
                0.00    0.00   12005/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::abs<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&) [124]
                0.00    0.00   12750/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::has_mul, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator*<double>(double const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [121]
                0.00    0.00   19125/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::acos<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&) [120]
                0.00    0.00   19127/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::has_mul, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator*<int>(int const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [119]
                0.00    0.00   27124/18946999     Utils::getCcentersTriangles(std::list<mpfr::real<512l, (mpfr_rnd_t)0>*, std::allocator<mpfr::real<512l, (mpfr_rnd_t)0>*> >&, std::list<Triangle*, std::allocator<Triangle*> >&) [102]
                0.00    0.00   37814/18946999     Triangle::Triangle(Vertex*, Vertex*, Vertex*) [34]
                0.00    0.00   56009/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::sqrt<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&) [111]
                0.00    0.00   67488/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::has_div_a, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::operator/<double>(mpfr::real<512l, (mpfr_rnd_t)0> const&, double const&) [107]
                0.00    0.00   69557/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator/<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [106]
                0.01    0.00 1421936/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator+<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [70]
                0.01    0.00 1712618/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator-<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [26]
                0.01    0.00 2185461/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_math_funcs, mpfr::real<512l, (mpfr_rnd_t)0> const>::type mpfr::fabs<512l, (mpfr_rnd_t)0>(mpfr::real<512l, (mpfr_rnd_t)0> const&) [46]
                0.06    0.00 13265034/18946999     mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_arithm_ops, mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>, true>::type const>::type mpfr::operator*<mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0> >(mpfr::real<512l, (mpfr_rnd_t)0> const&, mpfr::real<512l, (mpfr_rnd_t)0> const&) [4]
[12]     6.7    0.09    0.00 18946999         mpfr::real<512l, (mpfr_rnd_t)0>::real() [12]
-----------------------------------------------
                0.00    0.00      58/7707626     Mesh::removeTriangles(bool (*)(Triangle*)) [105]
                0.00    0.00     183/7707626     Mesh::findTriangle(Vertex*) [88]
                0.00    0.00     973/7707626     Mesh::movingMesh(std::list<mpfr::real<512l, (mpfr_rnd_t)0>* (*)(Vertex*, mpfr::real<512l, (mpfr_rnd_t)0>), std::allocator<mpfr::real<512l, (mpfr_rnd_t)0>* (*)(Vertex*, mpfr::real<512l, (mpfr_rnd_t)0>)> >, bool, std::string) [82]
                0.00    0.00     996/7707626     std::list<Triangle*, std::allocator<Triangle*> >::operator=(std::list<Triangle*, std::allocator<Triangle*> > const&) [137]
                0.01    0.00  738439/7707626     Utils::contains(std::list<Triangle*, std::allocator<Triangle*> >&, Triangle*) [32]
                0.03    0.00 3149688/7707626     Mesh::createTriangle(Vertex*, Vertex*, Vertex*) [17]
                0.04    0.00 3817289/7707626     std::list<Triangle*, std::allocator<Triangle*> >::remove(Triangle* const&) [19]
[13]     6.3    0.09    0.00 7707626         std::_List_iterator<Triangle*>::operator++() [13]
-----------------------------------------------
                0.00    0.08       1/1           startProcess() [2]
[14]     5.7    0.00    0.08       1         Mesh::applyRefinement(bool (*)(Adjacency*), Triangle* (*)(Adjacency*)) [14]
                0.00    0.08     253/253         Mesh::refineTriangle(Triangle*) [15]
                0.00    0.00     705/24652       Utils::contains(std::list<Triangle*, std::allocator<Triangle*> >&, Triangle*) [32]
                0.00    0.00     705/705         getTriangle(Adjacency*) [101]
                0.00    0.00     705/705         refinementDistanceCriterion(Adjacency*) [112]
                0.00    0.00     253/2819        std::list<Triangle*, std::allocator<Triangle*> >::front() [104]
                0.00    0.00     750/1613550     std::_List_iterator<Adjacency*>::operator++() [48]
                0.00    0.00     751/7838529     std::list<Adjacency*, std::allocator<Adjacency*> >::end() [20]
                0.00    0.00    2160/18013128     std::_List_iterator<Adjacency*>::operator*() const [28]
                0.00    0.00     751/9413788     std::_List_iterator<Adjacency*>::operator!=(std::_List_iterator<Adjacency*> const&) const [22]
                0.00    0.00       1/2315        std::list<Triangle*, std::allocator<Triangle*> >::clear() [90]
                0.00    0.00       1/1215855     std::list<Adjacency*, std::allocator<Adjacency*> >::begin() [31]
                0.00    0.00     423/81994       std::list<Triangle*, std::allocator<Triangle*> >::push_back(Triangle* const&) [191]
                0.00    0.00     254/2867        std::list<Triangle*, std::allocator<Triangle*> >::empty() const [346]
-----------------------------------------------
                0.00    0.08     253/253         Mesh::applyRefinement(bool (*)(Adjacency*), Triangle* (*)(Adjacency*)) [14]
[15]     5.6    0.00    0.08     253         Mesh::refineTriangle(Triangle*) [15]
                0.00    0.06     236/579         Mesh::insertCircuncenterOff(Triangle*, mpfr::real<512l, (mpfr_rnd_t)0>*) [6]
                0.00    0.01     253/642         Mesh::splitEncroachedSegments(mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>) [24]
                0.00    0.00     253/2795        Mesh::splitEncroachedSegments() [85]
                0.00    0.00     506/129336      mpfr::real<512l, (mpfr_rnd_t)0>::real(mpfr::real<512l, (mpfr_rnd_t)0> const&) [75]
                0.00    0.00     506/19749853     mpfr::real<512l, (mpfr_rnd_t)0>::~real() [16]
-----------------------------------------------
                0.00    0.00       2/19749853     Mesh::initialize(std::string) [73]
                0.00    0.00       4/19749853     startProcess() [2]
                0.00    0.00      32/19749853     Mesh::splitEncroachedSegments() [85]
                0.00    0.00      44/19749853     Mesh::createInitialTriangulation() [133]
                0.00    0.00      82/19749853     mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, int, true>::type, int, true>::enable_compar_ops, int>::type mpfr::operator!=<mpfr::real<512l, (mpfr_rnd_t)0>, int>(mpfr::real<512l, (mpfr_rnd_t)0> const&, int const&) [146]
                0.00    0.00     123/19749853     Utils::getBiggerDistance(std::list<Triangle*, std::allocator<Triangle*> >&) [128]
                0.00    0.00     308/19749853     Mesh::splitEncroachedSegments(mpfr::real<512l, (mpfr_rnd_t)0>, mpfr::real<512l, (mpfr_rnd_t)0>) [24]
                0.00    0.00     506/19749853     Mesh::refineTriangle(Triangle*) [15]
                0.00    0.00     560/19749853     Mesh::calculateOffCenter(Triangle*, mpfr::real<512l, (mpfr_rnd_t)0>&, mpfr::real<512l, (mpfr_rnd_t)0>*) [86]
                0.00    0.00     705/19749853     refinementDistanceCriterion(Adjacency*) [112]
                0.00    0.00     912/19749853     MovingVertexData::~MovingVertexData() [143]
                0.00    0.00    1132/19749853     mpfr::enable_if<mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::type, mpfr::real<512l, (mpfr_rnd_t)0>, true>::enable_compar_ops&&mpfr::type_traits<mpfr::result_type2<mpfr::real<512l, (mpfr_rnd_t)0>, double, true>::type, double, true>::enable_compar_ops, int>::type mpfr::operator<=<mpfr::real<512l, (mpfr_rnd_t)0>, double>(mpfr::real<512l, (mpfr_rnd_t)0> const&, double const&) [142]
                0.00    0.00    1570/19749853     Mesh::refine(mpfr::real<512l, (mpfr_rnd_t)0>&, int) [8]
                0.00    0.00    1634/19749853     FiniteVolume::areaDivDeltaT(Vertex*, mpfr::real<512l, (mpfr_rnd_t)0>&) [29]
